,type,n,S,K,T,sigma,r,cv,lower,upper,px
0,P,50,100,100,3,0.3,0.05,0,7.659,8.097,7.878
1,P,100,100,100,3,0.3,0.05,0,7.641,8.081,7.861
2,P,50,100,100,3,0.4,0.05,0,11.188,11.761,11.475
3,C,50,100,100,3,0.3,0.05,0,14.47,15.38,14.925
4,C,100,100,100,3,0.3,0.05,0,14.148,15.042,14.595
5,C,50,100,100,3,0.4,0.05,0,17.616,18.857,18.236
6,P,50,100,100,3,0.3,0.05,1,6.631,6.659,6.645
7,P,100,100,100,3,0.3,0.05,1,6.624,6.651,6.637
8,P,50,100,100,3,0.4,0.05,1,10.464,10.513,10.489
9,C,50,100,100,3,0.3,0.05,1,13.876,13.948,13.912
10,C,100,100,100,3,0.3,0.05,1,13.806,13.885,13.846
11,C,50,100,100,3,0.4,0.05,1,17.56,17.682,17.621
